,vid_id,duration,total_frame,fps
0,xZecGPPhbHE,185.085,5547,29.97002997002997
1,NLy71UrHElw,26.795,787,30.0
2,ewmdE3DmlL0,63.483332999999995,1586,25.0
3,JTmzWWU7s1M,217.199456,6510,29.97002997002997
4,jXYZEb-56Wc,189.59,4544,23.975988835124923
5,rtCpq2_HthQ,67.2682,2018,30.0
6,oDAY5PMwZgU,17.205977999999998,516,30.0
7,4kiZIDOUQAo,48.5297,1213,25.0
8,zyML-268ciU,237.121667,7105,29.97017745888328
9,r_5RtkDwNsg,66.01432199999999,1980,30.0
10,aR615-SqEls,527.161667,15797,29.97002997002997
11,CWmC03KVuPU,236.656667,7089,29.97002997002997
12,DvaCfRWskRE,45.72,1370,29.97002997002997
13,ot_sBwstblw,38.591556,1156,29.969926371461163
14,gnlUBK-cvfc,60.255778,1446,24.0
15,n0HdUsT48p8,65.480267,1661,25.371005772247486
16,v4z4s8a7YqE,55.263489,1657,29.97002997002997
17,WE9j6r3s7OY,136.161667,4079,29.969949229627566
18,iD9JmUkGpOA,166.651667,4994,29.97002997002997
19,SN_IhH4PDPo,85.72806700000001,2569,29.97002997002997
20,cK55Meyf3ss,219.428333,6576,29.97002997002997
21,WjjexIlQg6k,111.571878,2675,23.97602457296036
22,8TVl3Ui-WHg,91.533056,2289,25.0
23,NKItrqXhycE,140.29333300000002,4200,29.97002997002997
24,LMoGwLqPM64,197.508933,5919,29.97002997002997
25,U-s6EYzqjmA,180.975,5422,29.97002997002997
26,Ntzsfe0xzF8,30.161666999999998,848,28.208640448499647
27,633OkWbwLt4,173.940678,4348,25.0
28,X_GBesuwrAI,165.81368899999998,3980,24.00583860597251
29,8M5mt7pfO2A,123.57658899999998,3703,29.97002997002997
30,Cg6RAPmJDSM,189.498044,4737,25.0
31,GR7PhXtVtQA,124.714367,3741,30.0
32,PDele0Lq-iM,96.246667,2405,25.0
33,h1Bts872T0Q,93.9,2345,25.0
34,wEXFa9wRSn0,201.409878,5035,25.0
35,p0zXvzHhX5w,225.326433,5402,23.976024567214214
36,9OqJyxVCUiA,142.222222,3556,25.006856491867147
37,H8nfm8aF_i8,197.276733,5918,30.00010138594588
38,I3tfxWUIHts,186.571667,5595,30.0
39,ajnTL-7mr3o,120.9063,3623,29.97002997002997
40,1nQp_Yb8YW0,165.604711,4968,30.0
41,zys9YejztPE,233.011667,6975,30.0
42,5bLHouFLlbY,200.28,5006,25.0
43,cjWBEQC3n3Q,201.873333,3027,15.000074331389156
44,fXUkskdp8X0,77.484978,2322,29.97002997002997
45,xEal3npbaQs,202.848333,6086,30.0
46,0R9pdc9dO3Q,122.4156,2935,23.976024520080138
47,szjig3wmORM,52.035,1290,24.785999999999998
48,lKBwkhmx8qI,68.568522,2048,29.875000547027604
49,JMqMKF2eVk0,178.86166699999998,5358,29.97002997002997
50,_dJ6KwVqj1s,201.501667,6030,30.0
51,Xk1NwqfgF0I,146.586667,4397,30.0
52,a4MRvyxGF5M,145.79666699999999,2140,14.68400008935435
53,9KCy9ZKK2Nc,113.80098899999999,3410,29.970117771137282
54,BSrpqBbA4hc,188.360267,4709,25.0
55,t-4MEjgRcLY,207.655,6220,29.97002997002997
56,N5wOzlDvpVM,119.32666699999999,2982,25.0
57,udV9bizPwiU,133.60761100000002,4005,29.970142105617622
58,RozBliBcXlA,75.41841099999999,2260,29.97002997002997
59,TY6fWUgkEKQ,75.13833299999999,1877,25.0
60,SExfbacM9YY,160.0087,3999,25.0
61,i5K-DXt9djA,164.86166699999998,4938,29.97002997002997
62,4bgWwnZQPaA,157.3572,4716,29.97006806179579
63,nX8oPykt6fk,66.686667,1528,22.999909351724337
64,tJOoUC_rQyI,57.539044,1438,25.0
65,pcvs3Tp_BeU,134.745,4043,30.007422068283034
66,Jjj8FN4r6Ms,25.704489000000002,770,29.97002997002997
67,TH23bzKmbdI,150.952922,4524,29.970188804239807
68,Xth6hlbZnAE,140.411056,4212,30.0
69,XZDC23QNF-4,155.341489,4655,29.97002997002997
70,9NWFMwhEZg8,91.393733,2739,29.97002997002997
71,s4rtLerCYqU,238.258333,7139,29.97010965391009
72,5aDqNwMVEyc,122.11373300000001,3663,30.000245702258
73,0xybXrdeSTk,92.694056,2779,29.970342410353194
74,zHHSOKFzmYQ,63.43666700000001,1900,30.0
75,hjUSPlhPpT0,123.506667,3705,30.000242916946696
76,CK_9Bn3DZdw,106.04552199999999,2651,25.0
77,utvg54Ft3yE,141.084444,4232,29.999929111698695
78,TS0dZccs0N0,96.98974399999999,2325,23.976240319270712
79,ofRVyP4PAzg,193.49200000000002,4836,25.0
80,huFjPGrq1Og,176.93604399999998,4242,23.97612561183772
81,Ku03DOoMNYw,110.944933,3325,29.97002997002997
82,4ZYUVqe45zg,170.341578,4084,23.976023976023974
83,qd7onfkw1iU,156.571667,4691,29.97002997002997
84,oO8of1uEHiU,127.5472,3822,29.97002997002997
85,HgkC8vNqmNQ,198.181667,5939,29.97012575442563
86,cUk96amBx44,111.733333,3347,29.97002997002997
87,ZiGEN2F_spc,140.782578,3375,23.976130430149542
88,7L4Wr9rzar4,115.937233,3474,29.970236811456672
89,nIvcPe-OL6s,147.166667,4409,29.970158993426818
90,mX2gDutWTKA,174.42,4731,27.140000755960468
91,ZfPGAyll1-k,115.937233,3475,29.97002997002997
92,8-Qa7tPdyFQ,140.503333,4209,29.97002997002997
93,DgH4rzWbutg,226.695,6798,30.0
94,oCShiT5KDT8,116.70348899999999,3501,30.0
95,QLWJ4N-5KJg,237.23826699999998,7117,30.00004215265161
96,qRkeZFVSYDE,339.545,10174,29.97002997002997
97,cXUPz2kNnM4,303.111667,9082,29.97002997002997
98,x3mP6poDdbY,180.813333,5419,29.97002997002997
99,sCwfcAEgvtw,147.585,3688,25.0
100,zUcxZZ5cuVM,168.71618899999999,5056,29.97002997002997
101,mIm14jLritI,196.53368899999998,5890,29.97002997002997
102,MS0SMLCCtIM,55.077721999999994,1649,29.970374947747224
103,THo2YiWuU1s,76.136667,1903,25.0
104,yvxDNOCTh0Y,204.381667,6123,29.970044639360953
105,tK19K6aFIMM,213.7629,6406,29.970151488214984
106,eYZzsprO3bo,120.07,3597,29.970004999166804
107,2zqpJb-3SyI,174.89166699999998,5239,29.97002997002997
108,RBEJXMKfvhM,163.677456,3924,23.976023976023974
109,l_pp-1qu9Ig,113.12761100000002,2712,23.976023976023974
110,BcJiXwaJjQQ,169.041267,5067,29.97018950954645
111,DRTuNH_8r9A,191.100222,4777,25.0
112,Wh0Z5_wqNto,68.6614,1716,25.0
113,lQnUlFm56Ao,183.645,4590,25.0
114,SpPaRieydzo,231.71192200000002,6945,29.970094635590407
115,N1V_rruN5oc,216.20098900000002,6479,29.97002997002997
116,dyhR-XYWa0A,66.47833299999999,1989,30.0
117,CF6MPokyTRQ,151.20834399999998,3627,23.97604378751421
118,IuLXpF0pkRc,77.811667,2332,29.97002997002997
119,YgvsTAPkwEc,195.278333,4682,23.976024658127713
120,2qPAH0NGqv0,174.938333,5239,29.97019570154513
121,W5W1XXdueT0,219.40534399999999,6575,29.970143811108326
122,14bRmzauQFE,56.308389,1689,30.0
123,k6klYBJCjWI,101.88833299999999,3051,29.97002997002997
124,c9ilKEcL69E,226.06947799999998,6775,29.97005206605355
125,ilYcBnHdkyQ,205.38048899999998,6156,29.970059151432533
126,lyAWtyRTEe4,176.564533,5291,29.97002997002997
127,nAsrsMPftOI,213.46103300000001,5336,25.0
128,Tz1ccR4A_Pk,215.434733,6456,29.970057795418143
129,zRtZbAQMhjw,206.146756,6178,29.970068740024928
130,4CHtEuIGPPQ,102.074911,3062,30.0
131,PBZ09GEbYAE,65.43333299999999,1959,29.97002997002997
132,TD9mUSkKQNY,178.49178899999998,4279,23.976024349196404
133,piajlE3zwe4,63.25115600000001,1581,25.0
134,uf0J76feCl0,66.9199,2005,29.97002997002997
135,a5cCXFeLUR8,95.225033,2283,23.97602467545667
136,2iL7JSB42jc,155.87555600000002,4671,29.97002997002997
137,ffC1az6Nl0I,220.5203,6609,29.97002997002997
138,QnMbDe-tG74,86.517542,2074,23.976023976023974
139,LaYT_7IUVEk,181.765,5447,29.97006844642032
140,fNfFoxQm-cA,190.101767,4752,25.0
141,LmCuvsTshtE,78.297678,2346,29.97002997002997
142,nkuInJhaMnc,76.88126700000001,1846,23.976023976023974
